0,1,2,3,4,5,6
Mission/Missionary/missionaries,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,"Suggested Content and Topics / European, North African, and Southwest Asian Civilizations","Suggested Topics: Great Schism, feudalism, chivalry, crusades, missionaries, parliament, plagues,
Charlemagne, Magna Carta, systems of governing, Black Death, Abbasid Empire, Ibn Battuta, Islam,
Caliphate, Islamic Golden Age, Medieval climate impact",,
shaman,no_content,,,,,
god,no_content,,,,,
Protestant,no_content,,,,,
Theocratic ,no_content,,,,,
Theocracy,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of the Mediterranean Region,"Suggested topics: Direct-democracy, representative-democracy, theocracy, monarchy, oligarchy,
Trans-Saharan caravan routes, Silk Road, Judaism, Christianity, Bronze Age collapse and the Sea
People",,
Antisemitism,no_content,,,,,
Israelite & Hebrew,no_content,,,,,
Confucian/Confucianism/Confucius,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Jain/Jainism,no_content,,,,,
Tao/Taoism/Dao/Lao Tzu/Laozi,no_content,,,,,
Shinto/Shintoism,no_content,,,,,
Zoroastrianism,no_content,,,,,
Bahai/Bahá'í,no_content,,,,,
Holi,no_content,,,,,
Holy,Sixth Grade,Ancient World History Early Civilizations to 1300 C.E.,Suggested content and topics / Civilizations of Africa and Asia,"Suggested Topics: writing, agriculture, religion, conflict & conquest, polytheism, monotheism,
Judaism, Islam, Hinduism, Confucianism, Buddhism, Indigenous belief systems, Holy Roman
empire, government, codifying laws (Hammurabi’s Code), caste system, Mandate of Heaven, Right
of Kings",,
Diwali,no_content,,,,,
Catholic,no_content,,,,,
theology,no_content,,,,,
